Neighborhood,AvgIncome,Latitude,Longitude
Arbutus-Ridge,62675,49.2409677,-123.1670008
Downtown,63251,49.283393,-123.1174563
Dunbar-Southlands,78117,49.2534601,-123.1850439
Fairview,61627,49.5051487,-117.2746391
Grandview-Woodland,42896,49.2705588,-123.0679417
Hastings-Sunrise,38258,49.2775935,-123.0439199
Kensington-Cedar Cottage,38411,49.2476321,-123.0842067
Kerrisdale,77248,49.2346728,-123.1553893
Killarney,39013,49.2242738,-123.0462504
Kitsilano,63092,49.2694099,-123.155267
Marpole,39020,49.2092233,-123.1361495
Mount Pleasant,54260,49.2633296,-123.0965885
Oakridge,46515,49.2308288,-123.1311342
Renfrew-Collingwood,33360,49.2420242,-123.0576794
Riley Park,53060,49.2474381,-123.1029664
Shaughnessy,118668,49.8537374,-112.8417925
South Cambie,65459,49.2466847,-123.120915
Strathcona,31534,49.279554,-123.0899788
Sunset,34212,49.2195929,-123.0902386
Victoria-Fraserview,34298,49.2184156,-123.0732871
West End,47253,49.2841308,-123.1317949
West Point Grey,82042,49.2644843,-123.1854326
